ProductCode,id,order_number,domain,store_id,total_price,currency_code,exchange_rate,pay_money,create_date,pay_date,transaction_no
2.02503E+16,723556,127445-723556,shop-liiverpool.shop,127445,20.7,EUR,0.91245,22.69,2025/3/1 4:30,2025/3/1 4:33,2.02503E+16
2.02503E+16,723701,127445-723701,shop-liiverpool.shop,127445,578.08,CZK,23.045604,25.09,2025/3/1 5:10,2025/3/1 5:16,2.02503E+16
2.02503E+16,724802,127445-724802,shop-liiverpool.shop,127445,4968.24,HUF,370.410388,13.42,2025/3/1 15:35,2025/3/1 15:37,2.02503E+16
2.02503E+16,724836,127445-724836,shop-liiverpool.shop,127445,6247.2,HUF,370.410388,16.87,2025/3/1 15:48,2025/3/1 15:50,2.02503E+16
2.02503E+16,645003,127351-645003,acmilanvip.online,127351,26.8,EUR,0.91245,29.38,2025/3/1 18:28,2025/3/1 18:31,2.02503E+16
2.02503E+16,725629,127445-725629,shop-liiverpool.shop,127445,28.5,EUR,0.91245,31.24,2025/3/1 21:33,2025/3/1 21:36,2.02503E+16
2.02503E+16,725657,127445-725657,shop-liiverpool.shop,127445,283.09,SEK,9.992304,28.34,2025/3/1 21:41,2025/3/1 21:45,2.02503E+16
2.02503E+16,725789,127445-725789,www.shop-liiverpoolx.shop,127445,22.65,EUR,0.91245,24.83,2025/3/1 22:21,2025/3/1 22:26,2.02503E+16
2.02503E+16,726264,127445-726264,shop-liiverpool.shop,127445,378.86,NOK,10.768404,35.19,2025/3/2 0:28,2025/3/2 0:31,2.02503E+16
2.02503E+16,726320,127445-726320,shop-liiverpool.shop,127445,386.31,SEK,9.992304,38.67,2025/3/2 0:39,2025/3/2 0:48,2.02503E+16
2.02503E+16,726349,127445-726349,shop-liiverpool.shop,127445,274.11,SEK,9.992304,27.44,2025/3/2 0:48,2025/3/2 0:51,2.02503E+16
2.02503E+16,726755,127445-726755,shop-liiverpool.shop,127445,305.53,SEK,9.992304,30.58,2025/3/2 2:44,2025/3/2 2:55,2.02503E+16
2.02503E+16,728285,127445-728285,shop-liiverpool.shop,127445,31.62,EUR,0.91245,34.66,2025/3/2 13:11,2025/3/2 13:20,2.02503E+16
2.02503E+16,647296,127351-647296,acmilanvip.online,127351,31,EUR,0.91245,33.98,2025/3/2 14:33,2025/3/2 14:35,2.02503E+16
2.02503E+16,728489,127445-728489,shop-liiverpool.shop,127445,30.3,EUR,0.91245,33.21,2025/3/2 14:50,2025/3/2 14:51,2.02503E+16
2.02503E+16,728617,127445-728617,www.shop-liiverpoolx.shop,127445,125.29,DKK,6.808204,18.41,2025/3/2 15:36,2025/3/2 15:39,2.02503E+16
2.02503E+16,33951633,128122-33951633,www.shop-arsenal.com,128122,79,PLN,3.899545,20.26,2025/3/2 16:13,2025/3/2 16:17,2.02503E+16
2.02503E+16,728824,127445-728824,shop-liiverpool.shop,127445,32.4,EUR,0.91245,35.51,2025/3/2 16:46,2025/3/2 16:50,2.02503E+16
2.02503E+16,33952780,128122-33952780,www.shop-arsenal.com,128122,21.8,EUR,0.91245,23.9,2025/3/2 21:55,2025/3/2 21:58,2.02503E+16
2.02503E+16,34108261,119249-34108261,www.toycenter-it.shop,119249,37.96,EUR,0.91245,41.61,2025/3/3 0:54,2025/3/3 0:57,2.02503E+16
2.02503E+16,33956116,128122-33956116,shop-arsenal.com,128122,14,EUR,0.91245,15.35,2025/3/3 14:34,2025/3/3 14:43,2.02503E+16
2.02503E+16,732790,127445-732790,shop-liiverpool.shop,127445,14.07,EUR,0.91245,15.43,2025/3/3 18:10,2025/3/3 18:15,2.02503E+16
2.02503E+16,651240,127351-651240,store-acmilan.online,127351,26.4,EUR,0.91245,28.94,2025/3/3 18:15,2025/3/3 18:17,2.02503E+16
2.02503E+16,651274,127351-651274,acmilanvip.online,127351,31,EUR,0.91245,33.98,2025/3/3 18:32,2025/3/3 18:35,2.02503E+16
2.02503E+16,33956921,128122-33956921,www.store-arsenal.com,128122,181.25,SEK,9.992304,18.14,2025/3/3 18:59,2025/3/3 19:02,2.02503E+16
2.02503E+16,33957182,128122-33957182,shop-arrseenal.shop,128122,327.97,SEK,9.992304,32.83,2025/3/3 20:34,2025/3/3 20:36,2.02503E+16
